ts,flip_dir
2025-05-04 03:24:00+00:00,1.0
2025-05-04 07:09:00+00:00,1.0
2025-05-05 09:50:00+00:00,-1.0
2025-05-07 05:53:00+00:00,1.0
2025-05-08 00:06:00+00:00,1.0
2025-05-09 03:01:00+00:00,1.0
2025-05-09 10:14:00+00:00,1.0
2025-05-09 12:15:00+00:00,1.0
2025-05-11 05:01:00+00:00,-1.0
2025-05-11 17:05:00+00:00,1.0
2025-05-11 20:36:00+00:00,-1.0
2025-05-16 20:37:00+00:00,1.0
2025-05-17 09:21:00+00:00,1.0
2025-05-19 12:42:00+00:00,1.0
2025-05-21 10:35:00+00:00,1.0
2025-05-21 12:26:00+00:00,-1.0
2025-05-22 19:29:00+00:00,-1.0
2025-05-22 22:04:00+00:00,1.0
2025-05-23 02:38:00+00:00,-1.0
2025-05-24 18:46:00+00:00,1.0
2025-05-24 19:51:00+00:00,-1.0
2025-05-27 01:25:00+00:00,1.0
2025-05-27 19:38:00+00:00,1.0
2025-05-27 22:37:00+00:00,1.0
2025-05-29 07:07:00+00:00,1.0
2025-05-31 20:50:00+00:00,-1.0
2025-06-03 05:32:00+00:00,1.0
2025-06-08 08:24:00+00:00,1.0
2025-06-08 12:17:00+00:00,-1.0
2025-06-08 13:47:00+00:00,-1.0
2025-06-10 09:26:00+00:00,-1.0
2025-06-11 13:38:00+00:00,-1.0
2025-06-15 21:17:00+00:00,1.0
2025-06-22 18:42:00+00:00,1.0
2025-06-23 08:23:00+00:00,-1.0
2025-06-25 13:58:00+00:00,-1.0
2025-06-26 22:52:00+00:00,1.0
2025-06-26 23:53:00+00:00,1.0
2025-06-27 23:15:00+00:00,-1.0
2025-06-29 05:42:00+00:00,1.0
2025-06-29 10:43:00+00:00,-1.0
2025-06-29 17:47:00+00:00,1.0
2025-06-30 08:47:00+00:00,1.0
2025-06-30 22:04:00+00:00,1.0
2025-06-30 23:06:00+00:00,1.0
2025-08-06 09:54:00+00:00,-1.0
2025-08-07 06:10:00+00:00,-1.0
2025-08-07 14:35:00+00:00,-1.0
2025-08-08 06:04:00+00:00,1.0
2025-08-11 14:35:00+00:00,-1.0
2025-08-12 03:52:00+00:00,1.0
2025-08-18 04:10:00+00:00,1.0
2025-08-19 20:28:00+00:00,1.0
2025-08-21 06:42:00+00:00,1.0
2025-08-23 04:04:00+00:00,1.0
2025-08-23 05:36:00+00:00,-1.0
2025-08-24 21:25:00+00:00,1.0
2025-08-30 04:41:00+00:00,-1.0
2025-08-30 11:53:00+00:00,-1.0
